SaleID,Date,CustomerID,ProductID,Quantity
S001,2026-01-05,C001,P101,1
S002,2026-01-05,C002,P102,2
S003,2026-01-06,C003,P104,1
S004,2026-01-06,C004,P108,10
S005,2026-01-07,C005,P105,2
S006,2026-01-08,C006,P107,15
S007,2026-01-08,C007,P103,1
S008,2026-01-09,C008,P106,1
S009,2026-01-10,C009,P101,1
S010,2026-01-10,C010,P102,3
S011,2026-01-11,C001,P103,2
S012,2026-01-11,C002,P105,1
S013,2026-01-12,C003,P107,20
S014,2026-01-12,C004,P108,15
S015,2026-01-13,C005,P104,2
S016,2026-01-14,C006,P101,1
S017,2026-01-15,C007,P102,5
S018,2026-01-15,C008,P105,2
S019,2026-01-16,C009,P107,25
S020,2026-01-17,C010,P106,1
